No task specified, assuming we want an unconstrained plan for the first robot, labeled 'boxy'.
Robot 'boxy'
	DOF:      6
	PosDOF:   3
	OriDOF:   3
	JointDOF: 0
Actuators:
Actuator (robot 0x2e05c90):
	Type: 1
	MaxForce: 1
	Mask:  1 1 1 1 1 1
	Limits: -1:1 -1:1 -1:1 -1:1 -1:1 -1:1
	Control space: [-1:1 ; -1:1 ; -1:1 ; -1:1 ; -1:1 ; -1:1 ]



Automatically computed position resolution as 0.002


MPLibrary is solving with MPStrategyMethod labeled TestPrimitives using seed 12345678.
Number of vertices before:1610
total number of vertices72917
-31.2751 -12.9741 -32.246 distance: 1.64243 vd v99 point  -30 -12.2648 -33
-31.6942 -13.0377 4.91915 distance: 1.90877 vd v115 point  -33 -12 5.84735
-32.5448 5.40855 12.5449 distance: 0.90551 vd v202 point  -32.9732 5.9912 12
-31.2974 -14.0171 5.03811 distance: 1.89064 vd v83 point  -30 -15 6
-31.1292 -14.1503 21.9568 distance: 1.70662 vd v92 point  -30 -15 21
-30.5251 -5.5705 12.4739 distance: 0.827471 vd v125 point  -30 -6 12
-31.2572 -31.2733 13.1191 distance: 2.11049 vd v46 point  -30 -30 12
-31.0794 -12.906 5.01078 distance: 1.72175 vd v113 point  -30 -12 6
-32.3289 -12.4771 14.3657 distance: 1.03934 vd v123 point  -33 -12 15
-30.9429 21.5633 21.5659 distance: 1.06516 vd v251 point  -30 21.2143 21.2143
-32.178 32.2445 12.7154 distance: 1.326 vd v318 point  -33 33 12
-31.009 32.1758 32.0735 distance: 1.5132 vd v323 point  -30 33 32.8431
-30.9733 23.2247 32.3427 distance: 1.40728 vd v299 point  -30 24 33
-30.9785 -32.3132 5.33021 distance: 1.11723 vd v37 point  -30.1263 -33 5.55441
-5.17889 14.798 23.5838 distance: 0.886741 vd v711 point  -6 14.902 23.902
-3.82149 12.2025 12.4161 distance: 0.887133 vd v864 point  -3 12.098 12.098
-5.48558 3.66988 23.6081 distance: 0.931117 vd v681 point  -6 3 24
-4.98938 5.32059 12.8204 distance: 1.40051 vd v678 point  -6 6 12.1287
21.9503 -4.18022 13.0627 distance: 1.46956 vd v36792 point  21.1474 -3 13.412
21.9503 -4.18022 13.0627 distance: 1.85072 vd v1214 point  21 -3 12
32.3217 -5.43438 12.5343 distance: 0.84042 vd v1557 point  32.7142 -6 12.0523
31.9548 -14.1059 32.3437 distance: 1.35821 vd v1545 point  32.9373 -14.7757 33
31.5006 4.9112 31.9098 distance: 1.59922 vd v60061 point  33 5.39615 32.1823
31.5006 4.9112 31.9098 distance: 1.53776 vd v1584 point  32.4675 6 32.4042
31.5006 4.9112 31.9098 distance: 1.54077 vd v31390 point  31.5 6 33
31.5006 4.9112 31.9098 distance: 2.15079 vd v1446 point  30 6 33
31.8598 3.91011 12.8528 distance: 1.60297 vd v1569 point  32.9388 3.08672 12
32.0687 23.3076 -5.2188 distance: 1.39896 vd v1603 point  33 24 -6
13.0011 23.1496 23.1759 distance: 1.55066 vd v1097 point  12 24 24
